Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,VaccK4,VaccK5,VaccK6,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3,TaccK4,TaccK5,TaccK6
ISIC2018,BASELINE,Resnet50,0.8653,0.9623,0.8753,0.7955,0.821,0.0911,0.0568,0.0324,0.6001,0.2086,0.625,1,0.8182,1,0.5238,0.935,0.6667,0.7302,0.8938,0.604,0.5107,0.5424,0.1509,0.1505,0.049,1.3433,0.4307,0.3953,0.4194,0.5853,0.3409,0.4561,0.8922,0.4857
ISIC2018,LS,Resnet50,0.8446,0.8904,0.6726,0.6137,0.6245,0.1064,0.1414,0.0475,0.5881,0.2706,0.625,0.8,0.6818,0,0.5714,0.9512,0.6667,0.7447,0.8958,0.6075,0.5441,0.5587,0.0541,0.0578,0.0321,0.8626,0.3787,0.6047,0.4516,0.5115,0.3864,0.4152,0.9252,0.5143
ISIC2018,BASELINE_FL,Resnet50,0.829,0.9506,0.6196,0.6386,0.6251,0.0705,0.072,0.0382,0.6568,0.2551,0.625,0.7333,0.4545,0,0.7143,0.9431,1,0.7017,0.8789,0.5808,0.494,0.5137,0.1022,0.102,0.039,1.2448,0.4442,0.4419,0.4731,0.3917,0.3409,0.5731,0.8658,0.3714
ISIC2018,BASELINE_DCA,Resnet50,0.8394,0.9018,0.6068,0.5597,0.5756,0.1059,0.0931,0.0413,0.8984,0.2731,0.625,0.6667,0.8182,0,0.5238,0.9512,0.3333,0.7183,0.8552,0.619,0.4711,0.501,0.2056,0.2006,0.0619,1.5259,0.4796,0.3488,0.5484,0.5161,0.1818,0.4035,0.8988,0.4
ISIC2018,BASELINE_MDCA,Resnet50,0.8912,0.9688,0.7944,0.7791,0.7617,0.0817,0.0676,0.0312,0.6281,0.1887,0.375,0.8667,0.8636,1,0.7143,0.9675,0.6667,0.7421,0.8844,0.6523,0.5279,0.5673,0.2063,0.2061,0.0606,1.6234,0.4442,0.3953,0.5484,0.5253,0.3182,0.5205,0.9021,0.4857
ISIC2018,OURS_ALPHA05,Resnet50,0.8653,0.9463,0.7389,0.6561,0.6779,0.0652,0.0522,0.0306,0.4889,0.2126,0.5,0.7333,0.7727,0,0.619,0.9675,1,0.7454,0.9042,0.6462,0.5207,0.5661,0.0638,0.0595,0.0248,0.8015,0.3639,0.3256,0.5269,0.5023,0.4091,0.4386,0.9285,0.5143
ISIC2018,BASELINE,Resnet50,0.8653,0.9563,0.768,0.5626,0.6125,0.0822,0.0661,0.0337,0.715,0.2233,0.375,0.8667,0.8636,0,0.5238,0.9756,0.3333,0.7288,0.8826,0.6146,0.4925,0.5392,0.1858,0.1849,0.0575,1.5813,0.4525,0.3023,0.4624,0.4747,0.4091,0.4211,0.9208,0.4571
ISIC2018,LS,Resnet50,0.8549,0.9478,0.8147,0.7823,0.7891,0.0865,0.0803,0.0383,0.528,0.238,0.625,0.8,0.5909,1,0.4762,0.9837,1,0.7414,0.8964,0.6215,0.5138,0.5267,0.0536,0.0734,0.0278,0.8419,0.3779,0.5116,0.3871,0.5438,0.1364,0.3333,0.9417,0.7429
ISIC2018,BASELINE_FL,Resnet50,0.8549,0.9652,0.7011,0.6675,0.6648,0.0717,0.0811,0.0353,0.4933,0.2231,0.5,0.8,0.8182,0,0.619,0.935,1,0.7196,0.8718,0.5847,0.4865,0.5236,0.0719,0.0717,0.0323,1.059,0.4136,0.186,0.4624,0.53,0.3182,0.4444,0.8933,0.5714
ISIC2018,BASELINE_DCA,Resnet50,0.8342,0.9522,0.7601,0.7727,0.7477,0.1116,0.106,0.0439,0.6476,0.2968,0.625,0.9333,0.4545,1,0.4286,0.9675,1,0.7275,0.8939,0.6472,0.4765,0.5202,0.1418,0.1416,0.0429,1.0321,0.416,0.3721,0.6344,0.3825,0.1364,0.386,0.9384,0.4857
