Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,LS,Resnet50,0.8015,0.9338,0.7881,0.7654,0.7711,0.0828,0.0789,0.0585,0.5658,0.2963,0.7928,0.7143,0.9574,0.597,0.7723,0.9229,0.7478,0.7189,0.7213,0.0692,0.0637,0.0648,0.6317,0.3252,0.6695,0.6324,0.9655,0.6081
Chaoyang,LS,Resnet50,0.7965,0.93,0.7665,0.7574,0.7596,0.0649,0.0629,0.0563,0.581,0.3057,0.8559,0.5595,0.9574,0.6567,0.8195,0.933,0.7833,0.7545,0.7663,0.0442,0.0452,0.0362,0.531,0.2711,0.8199,0.5576,0.9667,0.674
Chaoyang,LS,Resnet50,0.8164,0.9216,0.7956,0.7864,0.7901,0.0704,0.0782,0.0609,0.6065,0.3031,0.8198,0.6667,0.9574,0.7015,0.7962,0.8968,0.7511,0.7366,0.7393,0.0734,0.0732,0.0508,0.6539,0.3204,0.7844,0.6231,0.9345,0.6044
