Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1
MHIST,BASELINE,Resnet34,0.8667,0.9138,0.8511,0.8145,0.8295,0.0866,0.0794,0.0873,0.5509,0.2209,0.9385,0.6905,0.7963,0.871,0.7972,0.7549,0.7667,0.1463,0.1432,0.1464,0.8235,0.3324,0.9125,0.5972
MHIST,LS,Resnet34,0.8759,0.913,0.8883,0.8045,0.8327,0.0473,0.0532,0.0621,0.3379,0.2014,0.9741,0.6349,0.7963,0.8747,0.8204,0.741,0.7563,0.0823,0.0828,0.1025,0.4807,0.3064,0.9514,0.5306
MHIST,BASELINE_FL,Resnet34,0.869,0.9189,0.8533,0.8185,0.8329,0.1598,0.1587,0.15,0.4139,0.2571,0.9385,0.6984,0.7984,0.8719,0.7926,0.764,0.7734,0.1262,0.1268,0.1256,0.4836,0.3161,0.8947,0.6333
MHIST,BASELINE_DCA,Resnet34,0.8805,0.9194,0.8659,0.836,0.8488,0.0481,0.0482,0.0405,0.3176,0.1939,0.9417,0.7302,0.783,0.8654,0.7745,0.7472,0.756,0.0679,0.0632,0.0669,0.4517,0.2951,0.8833,0.6111
MHIST,BASELINE_MDCA,Resnet34,0.8483,0.8946,0.8188,0.8062,0.812,0.1107,0.1078,0.1125,0.6066,0.2617,0.9061,0.7063,0.8096,0.8724,0.8074,0.7746,0.7853,0.1376,0.1345,0.1409,0.7437,0.3217,0.9076,0.6417
MHIST,OURS_ALPHA05,Resnet34,0.8575,0.9186,0.8327,0.8127,0.8216,0.0802,0.0959,0.0994,0.3629,0.2243,0.9191,0.7063,0.8076,0.8816,0.7976,0.7817,0.788,0.059,0.062,0.0654,0.4476,0.2894,0.8801,0.6833
MHIST,BASELINE,Resnet34,0.8552,0.9044,0.8207,0.8487,0.8319,0.1214,0.1104,0.1296,0.7842,0.2596,0.8641,0.8333,0.7308,0.8183,0.719,0.7325,0.7211,0.214,0.2135,0.2182,1.2909,0.4645,0.7261,0.7389
MHIST,LS,Resnet34,0.8483,0.9041,0.817,0.8109,0.8139,0.0512,0.0578,0.0793,0.3743,0.2279,0.8997,0.7222,0.7697,0.8608,0.7543,0.7644,0.7579,0.0556,0.0631,0.0807,0.4621,0.3008,0.7844,0.7444
MHIST,BASELINE_FL,Resnet34,0.8575,0.9068,0.8465,0.7939,0.8136,0.1186,0.1199,0.1058,0.397,0.2563,0.945,0.6429,0.7973,0.8569,0.7989,0.7557,0.7677,0.0982,0.0962,0.09,0.4869,0.3263,0.9141,0.5972
MHIST,BASELINE_DCA,Resnet34,0.8552,0.8968,0.8401,0.7947,0.8122,0.0734,0.0672,0.0801,0.4116,0.2357,0.9385,0.6508,0.7666,0.8479,0.762,0.7209,0.7311,0.0943,0.098,0.0986,0.5328,0.3292,0.8947,0.5472
MHIST,BASELINE_MDCA,Resnet34,0.8943,0.945,0.8704,0.8739,0.8721,0.0598,0.0581,0.0685,0.3353,0.1703,0.9223,0.8254,0.8137,0.8891,0.801,0.7958,0.7982,0.1308,0.1276,0.1323,0.641,0.3065,0.8639,0.7278
MHIST,OURS_ALPHA05,Resnet34,0.8759,0.9136,0.855,0.8374,0.8454,0.0522,0.0753,0.0597,0.351,0.2084,0.9288,0.746,0.8127,0.8688,0.8044,0.7858,0.7929,0.0486,0.0581,0.0591,0.455,0.2867,0.8882,0.6833
MHIST,BASELINE,Resnet34,0.8506,0.8913,0.8537,0.7703,0.7967,0.0972,0.1026,0.1094,0.5697,0.2466,0.9612,0.5794,0.7871,0.8401,0.8317,0.7215,0.7363,0.1615,0.1604,0.1747,0.9274,0.3722,0.9708,0.4722
MHIST,LS,Resnet34,0.8598,0.9239,0.8259,0.8519,0.8365,0.0532,0.061,0.0658,0.3338,0.2071,0.8706,0.8333,0.7943,0.8792,0.7788,0.7839,0.7811,0.0569,0.0573,0.0605,0.4348,0.284,0.8233,0.7444
MHIST,BASELINE_FL,Resnet34,0.8736,0.9213,0.8576,0.8264,0.8397,0.1726,0.1715,0.1669,0.4228,0.2582,0.9385,0.7143,0.8137,0.8842,0.8124,0.779,0.7899,0.1358,0.1401,0.1371,0.4769,0.3041,0.9109,0.6472
MHIST,BASELINE_DCA,Resnet34,0.8506,0.9098,0.8356,0.7867,0.8052,0.056,0.0694,0.0772,0.3937,0.2243,0.9385,0.6349,0.7851,0.8614,0.7765,0.75,0.7587,0.0929,0.0924,0.1048,0.5459,0.319,0.8833,0.6167
MHIST,BASELINE_MDCA,Resnet34,0.8552,0.9077,0.827,0.8158,0.821,0.0725,0.0747,0.0764,0.4019,0.2303,0.9094,0.7222,0.784,0.862,0.7728,0.7526,0.7599,0.0945,0.0951,0.0951,0.5137,0.3125,0.872,0.6333
MHIST,OURS_ALPHA05,Resnet34,0.8759,0.9224,0.8524,0.8421,0.847,0.075,0.0744,0.0809,0.3404,0.2019,0.9223,0.7619,0.824,0.8801,0.821,0.7935,0.8032,0.0628,0.0724,0.0778,0.4406,0.2768,0.9092,0.6778
