Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,LS,Resnet34,0.8313,0.927,0.8067,0.8028,0.8045,0.0441,0.0465,0.0479,0.5578,0.2755,0.8108,0.6905,0.9787,0.7313,0.7887,0.9096,0.7233,0.7084,0.7139,0.0766,0.076,0.0498,0.6323,0.325,0.7645,0.5202,0.9845,0.5641
Chaoyang,LS,Resnet34,0.8263,0.934,0.7937,0.7889,0.7889,0.052,0.0974,0.0547,0.5728,0.2807,0.8468,0.6071,1.0,0.7015,0.8191,0.9214,0.7657,0.7558,0.7595,0.0633,0.081,0.0463,0.5782,0.2854,0.7957,0.514,0.9845,0.7289
Chaoyang,LS,Resnet34,0.8288,0.9352,0.8015,0.7967,0.7988,0.0532,0.0571,0.049,0.5454,0.2759,0.8559,0.6429,0.9716,0.7164,0.8121,0.9176,0.7525,0.7322,0.7398,0.0547,0.0646,0.0493,0.5735,0.289,0.8383,0.5514,0.9679,0.5714
