Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,OURS_CONST06,Resnet50,0.8065,0.9408,0.7746,0.7645,0.7654,0.1586,0.1508,0.0988,0.6288,0.3163,0.9009,0.5357,0.9645,0.6567,0.8205,0.9363,0.7646,0.746,0.7533,0.1515,0.1511,0.0867,0.599,0.2944,0.8567,0.4766,0.9655,0.685
Chaoyang,OURS_CONST06,Resnet50,0.799,0.9436,0.7879,0.7511,0.7572,0.1289,0.1317,0.0896,0.6186,0.3101,0.9459,0.6071,0.9291,0.5224,0.8177,0.9368,0.7862,0.7304,0.7479,0.126,0.122,0.0776,0.5855,0.2897,0.9206,0.5109,0.9333,0.5568
Chaoyang,OURS_CONST06,Resnet50,0.8114,0.9088,0.7954,0.7746,0.7805,0.0907,0.0926,0.0611,0.6327,0.3114,0.8559,0.7024,0.9433,0.597,0.7873,0.8946,0.7257,0.7247,0.723,0.0604,0.0571,0.0632,0.6786,0.3379,0.7702,0.6106,0.9357,0.5824
Chaoyang,OURS_CONST04,Resnet50,0.804,0.9387,0.7676,0.7583,0.7585,0.188,0.1887,0.1048,0.677,0.3359,0.9009,0.5119,0.9787,0.6418,0.8214,0.9389,0.7588,0.7344,0.7432,0.1853,0.1837,0.1042,0.6344,0.3061,0.8837,0.4393,0.9738,0.641
Chaoyang,OURS_CONST04,Resnet50,0.8313,0.9315,0.8014,0.7995,0.7992,0.2037,0.2021,0.1086,0.6674,0.324,0.8468,0.619,0.9858,0.7463,0.8125,0.9261,0.7592,0.7468,0.7516,0.1687,0.1672,0.1056,0.6633,0.3203,0.7972,0.5701,0.9714,0.6484
Chaoyang,OURS_CONST04,Resnet50,0.8263,0.9307,0.8053,0.8014,0.7976,0.1993,0.1953,0.1119,0.6637,0.3153,0.8559,0.5714,0.9574,0.8209,0.8195,0.9078,0.7667,0.7523,0.7581,0.1755,0.175,0.1003,0.6776,0.325,0.8426,0.4891,0.9595,0.7179
