Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,OURS_CONST06,Resnet34,0.8288,0.9442,0.7967,0.7977,0.7967,0.1523,0.1514,0.0851,0.5898,0.2897,0.8288,0.6667,0.9787,0.7164,0.8107,0.938,0.7473,0.7469,0.7466,0.1169,0.1187,0.0774,0.592,0.2926,0.8014,0.5296,0.9643,0.6923
Chaoyang,OURS_CONST06,Resnet34,0.8337,0.942,0.8092,0.8022,0.8045,0.1546,0.1538,0.085,0.5895,0.2886,0.8559,0.6429,0.9787,0.7313,0.8139,0.9371,0.7603,0.7398,0.7481,0.1177,0.1178,0.0811,0.5912,0.2918,0.8028,0.5421,0.9881,0.6264
Chaoyang,OURS_CONST06,Resnet34,0.8263,0.9201,0.7985,0.8006,0.7985,0.1061,0.1092,0.0757,0.6208,0.3009,0.7838,0.6786,0.9787,0.7612,0.7878,0.8933,0.722,0.7271,0.7234,0.0822,0.0886,0.0757,0.6773,0.3343,0.7319,0.5296,0.969,0.6777
Chaoyang,OURS_CONST04,Resnet34,0.8288,0.9495,0.8013,0.7963,0.7979,0.229,0.2272,0.1264,0.6681,0.3287,0.8829,0.7024,0.9433,0.6567,0.8013,0.9367,0.7522,0.7414,0.7428,0.1923,0.1899,0.1237,0.6834,0.3365,0.7872,0.6199,0.9429,0.6154
Chaoyang,OURS_CONST04,Resnet34,0.8313,0.9422,0.8057,0.7923,0.7971,0.2246,0.2238,0.1219,0.6793,0.3315,0.8649,0.6548,0.9929,0.6567,0.8135,0.9343,0.7678,0.7495,0.7561,0.2006,0.2002,0.1236,0.6854,0.3344,0.7816,0.6044,0.9786,0.6337
Chaoyang,OURS_CONST04,Resnet34,0.8313,0.9405,0.8033,0.7994,0.8009,0.2377,0.236,0.1207,0.6908,0.342,0.8739,0.6429,0.9645,0.7164,0.8013,0.9344,0.7418,0.7325,0.7366,0.2062,0.2058,0.1211,0.7024,0.3477,0.8057,0.514,0.9548,0.6557
