Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,Temperature
MHIST,BASELINE,Resnet34,0.8667,0.9138,0.8511,0.8145,0.8295,0.0738,0.0691,0.0767,0.4655,0.215,0.9385,0.6905,0.7963,0.871,0.7972,0.7549,0.7667,0.1293,0.1271,0.1291,0.6851,0.3199,0.9125,0.5972,1.2646229
MHIST,LS,Resnet34,0.8759,0.913,0.8883,0.8045,0.8327,0.0482,0.0511,0.0727,0.3363,0.2005,0.9741,0.6349,0.7963,0.8747,0.8204,0.741,0.7563,0.0661,0.0715,0.0943,0.4688,0.3012,0.9514,0.5306,1.0969905
MHIST,BASELINE_FL,Resnet34,0.869,0.9189,0.8533,0.8185,0.8329,0.1077,0.1065,0.1088,0.3679,0.2297,0.9385,0.6984,0.7984,0.8719,0.7926,0.764,0.7734,0.0752,0.0814,0.0754,0.4539,0.2962,0.8947,0.6333,0.68987375
MHIST,BASELINE_DCA,Resnet34,0.8805,0.9194,0.8659,0.836,0.8488,0.0402,0.0501,0.0357,0.3167,0.1943,0.9417,0.7302,0.783,0.8654,0.7745,0.7472,0.756,0.0575,0.0522,0.0591,0.4431,0.2916,0.8833,0.6111,1.0911593
MHIST,BASELINE_MDCA,Resnet34,0.8483,0.8946,0.8188,0.8062,0.812,0.0993,0.0971,0.1105,0.5096,0.2544,0.9061,0.7063,0.8096,0.8724,0.8074,0.7746,0.7853,0.1233,0.1194,0.1267,0.621,0.3103,0.9076,0.6417,1.264691
MHIST,OURS_ALPHA05,Resnet34,0.8575,0.9186,0.8327,0.8127,0.8216,0.0481,0.0631,0.0655,0.3406,0.2138,0.9191,0.7063,0.8076,0.8816,0.7976,0.7817,0.788,0.0566,0.0476,0.0723,0.4389,0.2832,0.8801,0.6833,0.73105925
MHIST,BASELINE,Resnet34,0.8552,0.9043,0.8207,0.8487,0.8319,0.1045,0.0984,0.1215,0.6415,0.2522,0.8641,0.8333,0.7308,0.8182,0.719,0.7325,0.7211,0.198,0.1975,0.2064,1.0584,0.4474,0.7261,0.7389,1.2663172
MHIST,LS,Resnet34,0.8483,0.9041,0.817,0.8109,0.8139,0.0313,0.0545,0.0751,0.3697,0.2273,0.8997,0.7222,0.7697,0.8608,0.7543,0.7644,0.7579,0.0735,0.0739,0.0847,0.4703,0.3068,0.7844,0.7444,0.8474554
MHIST,BASELINE_FL,Resnet34,0.8575,0.9068,0.8465,0.7939,0.8136,0.0837,0.0915,0.0733,0.3788,0.2464,0.945,0.6429,0.7973,0.8569,0.7989,0.7557,0.7677,0.0872,0.0856,0.0866,0.4788,0.3202,0.9141,0.5972,0.7282802
MHIST,BASELINE_DCA,Resnet34,0.8552,0.8968,0.8401,0.7947,0.8122,0.0672,0.0603,0.0773,0.3868,0.2334,0.9385,0.6508,0.7666,0.8479,0.762,0.7209,0.7311,0.0733,0.074,0.0785,0.4964,0.3197,0.8947,0.5472,1.2472627
MHIST,BASELINE_MDCA,Resnet34,0.8943,0.945,0.8704,0.8739,0.8721,0.0458,0.0455,0.0525,0.2952,0.1648,0.9223,0.8254,0.8137,0.8891,0.801,0.7958,0.7982,0.1179,0.1121,0.1156,0.5425,0.2944,0.8639,0.7278,1.2573543
MHIST,OURS_ALPHA05,Resnet34,0.8759,0.9136,0.855,0.8374,0.8454,0.0586,0.0686,0.0609,0.3467,0.206,0.9288,0.746,0.8127,0.8688,0.8044,0.7858,0.7929,0.0632,0.059,0.0734,0.4646,0.2894,0.8882,0.6833,0.8514354
MHIST,BASELINE,Resnet34,0.8506,0.8913,0.8537,0.7703,0.7967,0.0831,0.0933,0.1076,0.4854,0.2407,0.9612,0.5794,0.7871,0.8401,0.8317,0.7215,0.7363,0.1459,0.1468,0.1662,0.767,0.3597,0.9708,0.4722,1.2631397
MHIST,LS,Resnet34,0.8598,0.9239,0.8259,0.8519,0.8365,0.0542,0.0611,0.0696,0.3338,0.207,0.8706,0.8333,0.7943,0.8792,0.7788,0.7839,0.7811,0.0577,0.0564,0.0603,0.4342,0.2837,0.8233,0.7444,1.0078444
MHIST,BASELINE_FL,Resnet34,0.8736,0.9213,0.8576,0.8264,0.8397,0.1145,0.1133,0.1158,0.3696,0.2239,0.9385,0.7143,0.8137,0.8842,0.8124,0.779,0.7899,0.08,0.0865,0.0825,0.435,0.2763,0.9109,0.6472,0.68570685
MHIST,BASELINE_DCA,Resnet34,0.8506,0.9098,0.8356,0.7867,0.8052,0.0557,0.0558,0.0797,0.3639,0.2198,0.9385,0.6349,0.7851,0.8614,0.7765,0.75,0.7587,0.0774,0.0705,0.0901,0.4979,0.3094,0.8833,0.6167,1.2504685
MHIST,BASELINE_MDCA,Resnet34,0.8552,0.9077,0.827,0.8158,0.821,0.0394,0.0637,0.0539,0.376,0.2257,0.9094,0.7222,0.784,0.862,0.7728,0.7526,0.7599,0.0679,0.0685,0.0677,0.4735,0.3017,0.872,0.6333,1.2443522
MHIST,OURS_ALPHA05,Resnet34,0.8759,0.9224,0.8524,0.8421,0.847,0.0365,0.057,0.0395,0.3304,0.1978,0.9223,0.7619,0.824,0.8801,0.821,0.7935,0.8032,0.0666,0.0722,0.0842,0.447,0.2775,0.9092,0.6778,0.79315066
