Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1
MHIST,LS,Resnet50,0.8667,0.893,0.8476,0.8192,0.8314,0.0247,0.0379,0.0263,0.356,0.2101,0.932,0.7063,0.8352,0.8909,0.8358,0.8042,0.8151,0.045,0.048,0.0617,0.4065,0.2532,0.9222,0.6861
MHIST,LS,Resnet50,0.8345,0.8983,0.8174,0.7613,0.781,0.044,0.0476,0.0662,0.3583,0.2256,0.9353,0.5873,0.8219,0.8906,0.8289,0.7826,0.7962,0.0417,0.0432,0.0593,0.4148,0.2625,0.9319,0.6333
MHIST,LS,Resnet50,0.8184,0.8676,0.7982,0.7359,0.756,0.0634,0.0686,0.0684,0.4304,0.2697,0.932,0.5397,0.783,0.8286,0.7898,0.7333,0.746,0.095,0.0957,0.1031,0.5342,0.3354,0.9222,0.5444
