Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1
MHIST,LS,Resnet34,0.8644,0.9017,0.8454,0.8152,0.828,0.0673,0.0905,0.0699,0.3912,0.2315,0.932,0.6984,0.784,0.8388,0.7789,0.7445,0.7547,0.1204,0.1172,0.1248,0.5584,0.3444,0.8947,0.5944
MHIST,LS,Resnet34,0.8575,0.8778,0.8488,0.7916,0.8125,0.0665,0.0776,0.0753,0.3946,0.2361,0.9482,0.6349,0.7973,0.8408,0.8152,0.7452,0.7601,0.1134,0.1128,0.1141,0.5292,0.3217,0.9433,0.5472
MHIST,LS,Resnet34,0.8598,0.9189,0.8264,0.8449,0.8345,0.0535,0.0812,0.0673,0.371,0.2213,0.8803,0.8095,0.7769,0.8577,0.7603,0.7632,0.7616,0.1124,0.1135,0.115,0.5339,0.3367,0.8152,0.7111
