Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3,Temperature
Chaoyang,BASELINE,Resnet34,0.8288,0.9485,0.8073,0.7981,0.8005,0.1091,0.1019,0.0675,0.6703,0.2853,0.7658,0.7619,0.9929,0.6716,0.8022,0.9387,0.7475,0.7318,0.737,0.1238,0.1236,0.07,0.7616,0.3131,0.7631,0.5763,0.9869,0.6007,1.264635
Chaoyang,LS,Resnet34,0.8288,0.9418,0.8019,0.7909,0.7942,0.0354,0.0611,0.0431,0.5145,0.2606,0.9009,0.6786,0.9574,0.6269,0.82,0.9381,0.769,0.7371,0.7488,0.0394,0.0507,0.0329,0.5055,0.2654,0.8851,0.5296,0.9548,0.5788,0.9250965
Chaoyang,BASELINE_FL,Resnet34,0.8337,0.9489,0.8063,0.8002,0.8028,0.0781,0.0782,0.0546,0.4891,0.2562,0.8468,0.6667,0.9858,0.7015,0.8303,0.945,0.7898,0.7618,0.7732,0.0325,0.0314,0.0428,0.486,0.2565,0.8482,0.5732,0.9702,0.6557,0.77468854
Chaoyang,BASELINE_DCA,Resnet34,0.8288,0.9427,0.8171,0.791,0.7944,0.0849,0.0774,0.0476,0.5223,0.2725,0.9009,0.5238,0.9929,0.7463,0.8261,0.9386,0.772,0.7445,0.7545,0.0522,0.0479,0.0335,0.5148,0.2563,0.8723,0.4517,0.9798,0.674,1.2456203
Chaoyang,BASELINE_MDCA,Resnet34,0.8238,0.9488,0.791,0.7942,0.7915,0.0507,0.0484,0.0398,0.4894,0.2602,0.8108,0.619,0.9858,0.7612,0.813,0.9422,0.7552,0.7579,0.756,0.0476,0.0472,0.0401,0.5183,0.2649,0.7688,0.5358,0.9762,0.7509,1.2384659
Chaoyang,OURS_ALPHA05,Resnet34,0.8238,0.9383,0.7951,0.7993,0.7963,0.0464,0.0627,0.0454,0.544,0.282,0.8018,0.6548,0.9645,0.7761,0.8186,0.941,0.759,0.7633,0.7602,0.0305,0.0337,0.0383,0.5189,0.2648,0.7745,0.5701,0.9798,0.7289,1.0540125
Chaoyang,BASELINE,Resnet34,0.8362,0.9524,0.8073,0.8101,0.8072,0.0822,0.0734,0.0526,0.5413,0.266,0.8018,0.6548,0.9929,0.791,0.8219,0.9458,0.7672,0.7546,0.7599,0.0928,0.0913,0.0524,0.5907,0.2732,0.8156,0.5296,0.981,0.6923,1.2594655
Chaoyang,LS,Resnet34,0.8213,0.9387,0.7925,0.7895,0.79,0.0516,0.0607,0.0517,0.5388,0.2823,0.8288,0.619,0.9787,0.7313,0.8153,0.9327,0.7614,0.7497,0.7548,0.0428,0.0392,0.0324,0.5321,0.2768,0.8085,0.5545,0.969,0.6667,0.8786079
Chaoyang,BASELINE_FL,Resnet34,0.8263,0.9393,0.7998,0.7976,0.7911,0.0523,0.0513,0.0478,0.5214,0.2739,0.8378,0.5238,0.9929,0.8358,0.8111,0.9368,0.7573,0.7447,0.7421,0.0119,0.015,0.027,0.5037,0.2708,0.8227,0.4081,0.9643,0.7839,1.1509998
Chaoyang,BASELINE_DCA,Resnet34,0.8164,0.939,0.7865,0.7715,0.7759,0.0718,0.0597,0.0515,0.5465,0.276,0.8739,0.6071,0.9929,0.6119,0.8139,0.9366,0.7636,0.72,0.7347,0.0728,0.0738,0.0431,0.5381,0.277,0.8809,0.4891,0.9714,0.5385,1.249997
Chaoyang,BASELINE_MDCA,Resnet34,0.8313,0.9456,0.8121,0.7957,0.8008,0.1089,0.0923,0.0606,0.7064,0.2799,0.8919,0.6548,0.9645,0.6716,0.8308,0.92,0.7821,0.7576,0.7673,0.1049,0.1033,0.0552,0.8522,0.283,0.8837,0.4984,0.9595,0.6886,1.2638642
Chaoyang,OURS_ALPHA05,Resnet34,0.8288,0.9499,0.8162,0.7917,0.7995,0.0321,0.0294,0.0417,0.4718,0.2564,0.8559,0.6905,0.9787,0.6418,0.82,0.9387,0.7803,0.7388,0.7528,0.0284,0.03,0.0326,0.4785,0.2557,0.8567,0.5483,0.9714,0.5788,0.8282872
Chaoyang,BASELINE,Resnet34,0.8412,0.9565,0.8167,0.8089,0.812,0.044,0.0537,0.035,0.448,0.2342,0.8649,0.6905,0.9787,0.7015,0.8209,0.9384,0.7626,0.7508,0.7561,0.0675,0.0691,0.0435,0.5528,0.2736,0.8411,0.514,0.9667,0.6813,1.2457702
Chaoyang,LS,Resnet34,0.8387,0.9527,0.8209,0.8012,0.808,0.046,0.0419,0.0424,0.4539,0.2457,0.8649,0.6905,0.9929,0.6567,0.8219,0.9438,0.7778,0.7509,0.7617,0.0393,0.0459,0.0335,0.4798,0.2585,0.8241,0.5514,0.9798,0.6484,0.8484629
