Dataset,Name,Arch,Tacc,Tecekde
MHIST,baseline,Resnet50,0.7861,0.2206
MHIST,ls,Resnet50,0.8158,0.1516
MHIST,baseline_fl,Resnet50,0.7861,0.2875
MHIST,baseline_dca,Resnet50,0.8147,0.1799
MHIST,baseline_mdca,Resnet50,0.7973,0.1424
MHIST,ours_alpha05,Resnet50,0.824,0.134
MHIST,baseline,Resnet50,0.7226,0.3015
MHIST,ls,Resnet50,0.7912,0.1324
MHIST,baseline_fl,Resnet50,0.7636,0.2492
MHIST,baseline_dca,Resnet50,0.7605,0.193
MHIST,baseline_mdca,Resnet50,0.7513,0.236
MHIST,ours_alpha05,Resnet50,0.8117,0.1315
MHIST,baseline,Resnet50,0.8076,0.2049
MHIST,ls,Resnet50,0.8147,0.1087
MHIST,baseline_fl,Resnet50,0.7677,0.1806
MHIST,baseline_dca,Resnet50,0.8066,0.1681
MHIST,baseline_mdca,Resnet50,0.7799,0.2097
MHIST,ours_alpha05,Resnet50,0.8076,0.1018
