Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,BASELINE,Resnet50,0.8139,0.9442,0.7805,0.7773,0.7777,0.098,0.0909,0.0572,0.5621,0.2915,0.8559,0.5952,0.9716,0.6866,0.8027,0.9293,0.7526,0.7431,0.7466,0.0984,0.0978,0.0602,0.6627,0.3031,0.7603,0.5327,0.9726,0.707
Chaoyang,LS,Resnet50,0.8238,0.938,0.8023,0.785,0.7903,0.0555,0.0592,0.0407,0.521,0.2748,0.9009,0.6548,0.9574,0.6269,0.7999,0.9337,0.757,0.7311,0.7403,0.0367,0.0454,0.0348,0.5358,0.2838,0.7972,0.5607,0.9548,0.6117
Chaoyang,BASELINE_FL,Resnet50,0.8139,0.9425,0.8011,0.7666,0.7755,0.0428,0.0531,0.0466,0.5041,0.2804,0.8829,0.5714,1,0.6119,0.8181,0.9416,0.7738,0.7255,0.7414,0.0369,0.035,0.0355,0.5027,0.2561,0.8695,0.5265,0.9821,0.5238
Chaoyang,BASELINE_DCA,Resnet50,0.8015,0.9354,0.7623,0.762,0.7609,0.1522,0.1412,0.0814,0.8564,0.3298,0.8018,0.5595,1,0.6866,0.8027,0.9287,0.7451,0.7414,0.7422,0.1351,0.1354,0.0745,0.9217,0.3296,0.7603,0.5732,0.9726,0.6593
Chaoyang,BASELINE_MDCA,Resnet50,0.8065,0.9415,0.7852,0.7528,0.7581,0.0819,0.0721,0.0681,0.5834,0.2984,0.9369,0.5952,0.9716,0.5075,0.8195,0.9293,0.7799,0.7286,0.745,0.0738,0.0703,0.0468,0.6044,0.2857,0.9035,0.5078,0.9571,0.5458
Chaoyang,OURS_ALPHA05,Resnet50,0.8139,0.9464,0.8006,0.765,0.773,0.0378,0.0491,0.0456,0.5171,0.2755,0.9099,0.619,0.9787,0.5522,0.8266,0.9361,0.7806,0.7523,0.7638,0.0295,0.0316,0.0404,0.5066,0.2583,0.8482,0.5389,0.9774,0.6447
Chaoyang,BASELINE,Resnet50,0.8139,0.941,0.7928,0.776,0.7744,0.1305,0.1295,0.071,0.8727,0.3053,0.8739,0.4762,0.9929,0.7612,0.8107,0.9296,0.7534,0.7376,0.7437,0.1336,0.1334,0.0711,0.98,0.3201,0.8199,0.4766,0.9726,0.6813
Chaoyang,LS,Resnet50,0.8189,0.9413,0.793,0.7822,0.7844,0.0441,0.0531,0.0496,0.5182,0.269,0.8829,0.5357,0.9787,0.7313,0.8228,0.9338,0.7658,0.755,0.7597,0.0376,0.0462,0.0396,0.5174,0.2634,0.8199,0.5234,0.981,0.696
Chaoyang,BASELINE_FL,Resnet50,0.8164,0.9527,0.7864,0.776,0.7795,0.0559,0.054,0.0468,0.4664,0.2638,0.8919,0.6429,0.9574,0.6119,0.8261,0.9387,0.775,0.7515,0.761,0.0397,0.0412,0.0282,0.485,0.258,0.8723,0.4891,0.9631,0.6813
Chaoyang,BASELINE_DCA,Resnet50,0.8164,0.9309,0.7926,0.7758,0.7809,0.107,0.1038,0.0701,0.8649,0.3093,0.8559,0.6786,0.9716,0.597,0.7966,0.9296,0.7583,0.7183,0.732,0.1398,0.1394,0.0727,0.895,0.3333,0.8255,0.5202,0.9488,0.5788
Chaoyang,BASELINE_MDCA,Resnet50,0.8189,0.9367,0.7958,0.7877,0.7895,0.1138,0.1095,0.068,0.7388,0.3078,0.8378,0.5952,0.9716,0.7463,0.7966,0.925,0.7402,0.7288,0.7331,0.1234,0.1225,0.0704,0.84,0.3315,0.7787,0.5202,0.9643,0.652
Chaoyang,OURS_ALPHA05,Resnet50,0.8114,0.939,0.7825,0.7763,0.7785,0.0841,0.0877,0.0467,0.5428,0.2853,0.8468,0.6071,0.9645,0.6866,0.8214,0.9404,0.7681,0.7563,0.7614,0.0383,0.0414,0.0368,0.4949,0.2548,0.8255,0.5639,0.9655,0.6703
Chaoyang,BASELINE,Resnet50,0.8089,0.941,0.7775,0.7669,0.7704,0.0431,0.0374,0.0358,0.5609,0.2768,0.8739,0.5952,0.9716,0.6269,0.8102,0.9371,0.7592,0.7386,0.7463,0.0457,0.0435,0.04,0.5416,0.2746,0.8014,0.5576,0.9762,0.619
Chaoyang,LS,Resnet50,0.8065,0.936,0.7772,0.7731,0.7748,0.0314,0.0338,0.0375,0.5455,0.2847,0.8378,0.6548,0.9433,0.6567,0.7957,0.9237,0.7395,0.7313,0.7343,0.031,0.0365,0.0352,0.5598,0.2899,0.7858,0.5421,0.9488,0.6484
